100 5000
13 -27 12
60 21 -92
30 73 -53
79 -35 -86
87 -86 -8
-38 -30 -92
79 -9 -30
48 24 67
-97 -17 56
14 74 34
15 -41 59
79 -39 16
-36 58 61
29 -38 91
-56 -20 3
-91 21 -99
39 18 -31
-15 77 -31
-63 -19 -85
69 64 -33
-87 -7 -54
67 -39 16
22 41 13
-92 -71 30
-55 -12 -79
78 -78 -63
-6 92 86
-59 39 -72
-8 -97 83
22 -72 100
-85 48 -90
48 -100 -53
74 30 -35
-100 -15 46
-38 21 -72
-66 13 45
24 14 -57
2 11 20
3 69 -60
25 -2 -95
50 19 85
26 35 6
-81 19 -89
49 2 -23
-82 -8 -30
30 64 -60
-61 96 77
-49 -95 -39
82 95 -54
-9 88 27
40 50 -58
89 -6 -6
79 -15 -54
18 40 -11
19 94 14
74 -43 18
-18 -65 35
25 -22 83
85 62 -7
-90 14 -100
81 64 -53
57 91 -42
-16 99 73
-23 -30 -49
43 -24 30
-55 -5 37
-91 45 -22
-60 -14 -67
-42 -36 -99
-27 7 -70
-17 48 -77
1 -35 12
-66 -96 -22
34 52 37
-8 -66 -56
31 -6 13
-98 -56 55
14 41 -97
48 -17 24
-88 -75 46
76 87 21
73 65 -55
-99 -73 -61
96 -94 -81
-32 98 -54
51 9 99
25 80 61
-63 -42 67
-4 -1 -18
-62 68 -55
67 -20 33
-46 97 78
42 -5 94
-63 -84 49
-17 92 -98
17 15 -82
10 -84 -38
-83 -71 -64
46 -60 74
-18 48 -55
23 -62 -38
26 -97 -66
-23 82 38
-31 92 -49
50 5 -9
92 84 -100
75 61 10
22 -48 -17
-7 5 39
84 71 48
-20 4 61
12 64 -82
-66 29 -32
-13 42 39
-97 35 59
-91 -65 -79
-9 -34 -44
15 71 83
30 51 -63
-6 77 25
-28 27 -55
-50 84 7
-27 81 24
-92 -84 98
-38 -42 75
61 -36 -50
-45 -44 -22
78 3 -56
52 -90 95
-25 -47 -72
60 24 68
81 52 -14
-25 -65 -44
-71 -79 -44
21 -78 96
-11 8 60
61 94 65
-63 10 52
62 2 71
-11 90 -79
7 -11 84
-85 95 99
52 45 -99
62 22 41
-63 58 33
26 70 73
-23 83 -69
-1 -41 -23
-38 45 56
-15 94 33
-29 13 85
65 74 73
21 16 3
71 72 42
-23 -8 41
37 23 -22
77 46 90
5 45 -1
-79 77 -78
40 -44 66
-29 82 -67
-8 -15 -72
81 71 -97
18 39 61
-36 69 -16
82 -3 14
39 -19 64
54 75 -30
-29 72 15
65 19 -82
-46 -5 89
30 8 -3
-1 46 79
2 -90 98
93 21 -100
-98 -56 -47
-90 79 77
30 -50 61
-95 -92 84
2 -46 81
